Date,BECI
2017/12/17,34.96011725
2017/12/18,34.86295718
2017/12/19,35.13674531
2017/12/20,35.76707866
2017/12/21,36.31843168
2017/12/22,36.74936697
2017/12/23,37.01936157
2017/12/24,37.12603982
2017/12/25,37.16997921
2017/12/26,37.15611743
2017/12/27,37.10824156
2017/12/28,36.94876778
2017/12/29,36.80656015
2017/12/30,36.63191951
2017/12/31,36.67764965
2018/1/01,36.79505128
2018/1/02,36.96452518
2018/1/03,37.21594172
2018/1/04,37.48566299
2018/1/05,37.80285233
2018/1/06,38.20970105
2018/1/07,38.59765029
2018/1/08,39.02654361
2018/1/09,39.44027898
2018/1/10,39.84401302
2018/1/11,40.23973172
2018/1/12,40.63729878
2018/1/13,41.04500007
2018/1/14,41.42350248
2018/1/15,41.79217877
2018/1/16,42.10497099
2018/1/17,42.38363657
2018/1/18,42.69104878
2018/1/19,43.09157667
2018/1/20,43.43634431
2018/1/21,43.73848531
2018/1/22,44.01650448
2018/1/23,44.27559607
2018/1/24,44.54044699
2018/1/25,44.89363109
2018/1/26,45.15081238
2018/1/27,45.40928841
2018/1/28,45.64070438
2018/1/29,45.92585336
2018/1/30,46.15873526
2018/1/31,46.44283312
2018/2/01,46.67768892
2018/2/02,46.86476055
2018/2/03,47.06552624
2018/2/04,47.25995026
2018/2/05,47.41725387
2018/2/06,47.65398373
2018/2/07,47.82571658
2018/2/08,48.00364244
2018/2/09,48.18476625
2018/2/10,48.36623881
2018/2/11,48.53991642
2018/2/12,48.81919913
2018/2/13,48.9997561
2018/2/14,49.19392283
2018/2/15,49.40386611
2018/2/16,49.61790609
2018/2/17,49.84861366
2018/2/18,50.07551125
2018/2/19,50.40651227
2018/2/20,50.64939106
2018/2/21,50.87770061
2018/2/22,51.09134107
2018/2/23,51.30347068
2018/2/24,51.50935435
2018/2/25,51.81572796
2018/2/26,52.03070872
2018/2/27,52.25401482
2018/2/28,52.47599972
2018/3/01,52.69364052
2018/3/02,52.93536754
2018/3/03,53.28018806
2018/3/04,53.51755874
2018/3/05,53.75868124
2018/3/06,53.98783171
2018/3/07,54.20272226
2018/3/08,54.40124097
2018/3/09,54.6899047
2018/3/10,54.87697494
2018/3/11,55.06627396
2018/3/12,55.25907771
2018/3/13,55.44554282
2018/3/14,55.6187077
2018/3/15,55.78309451
2018/3/16,56.0579081
2018/3/17,56.21739883
2018/3/18,56.3704105
2018/3/19,56.53481479
2018/3/20,56.70643482
2018/3/21,56.88630344
2018/3/22,57.17413129
2018/3/23,57.34686868
2018/3/24,57.51553716
2018/3/25,57.69261367
2018/3/26,57.85589108
2018/3/27,58.01324538
2018/3/28,58.28701648
2018/3/29,58.43151825
2018/3/30,58.56419846
2018/3/31,58.69775696
2018/4/01,58.82648154
2018/4/02,58.95878294
2018/4/03,59.09854708
2018/4/04,59.34864739
2018/4/05,59.47660481
2018/4/06,59.60171325
2018/4/07,59.7320426
2018/4/08,59.86518161
2018/4/09,59.99508108
2018/4/10,60.24248699
2018/4/11,60.37173949
2018/4/12,60.51178934
2018/4/13,60.664225
2018/4/14,60.81792421
2018/4/15,60.97582987
2018/4/16,61.24888687
2018/4/17,61.40130249
2018/4/18,61.55525286
2018/4/19,61.71423679
